szczegółowo	in detail
całkowicie niedostępny	utterly inaccessible
umierać z powodu komplikacji	to die from complications
szacować	to estimate
przekaz bankowy	a bank draft
tracić dostęp do	to lock myself out of sth
zjawisko	a phenomenon
mieć miejsce	to occur
pokrywać się z czymś	to coincide with sth
całkowite zaćmienie	a total eclipse
całe wydarzenie	an entire event
być świadkiem czegoś	to witness sth
częściowy	partial
stado alpak	a herd of alpacas
gromada zwierząt	a host of animals
dotrzymywać komuś towarzystwa	to keep sb company
specjalizować się w czymś	to specialize in sth
demencja	dementia
udana próba	a successful trial
emeryt	a pensioner
pobudzony	animated
rówieśnik	a peer
wraz z	alongside sth
polubić kogoś	to take to sb
uroczy	enchanting
pochylać się do przodu	to lean forward
opiekun	a carer
robić na kimś dobre pierwsze wrażenie	to be a hit with sb
gawędzić	to chat away
dostrzegać obiekt	to spot an object
unosić się	to float
odpalać rakietę	to launch a rocket
być na coś podatnym	to be susceptible to sth
na przykład (nie: example)	for instance
dalsza analiza	further analysis
przypominać coś	to resemble sth
stawać się niebieskim	to turn blue
nadmorska miejscowość	a seaside town
worek	a sack
rozrywać	to rupture
pożar	a fire
wybuchać (o wojnie lub pożarze)	to break out
niebezpieczny (nie: dangerous)	hazardous
gasnąć	to fade
kopać rów	to dig a trench
nieszkodliwy proszek	a harmless powder
tlić się	to smoulder
wzmacniać coś	to boost sth
plon	a yield
chłodny	cool
pozbawiać kogoś pracy	to put sb out of business
susza	a drought
sadzić	to plant
spadać o jeden procent	to fall by one percent
być dobrze do czegoś dopasowanym	to be well suited to sth
cierpieć z powodu niedoboru wody	to suffer a water shortage
szkodnik	a pest
kwiat (nie: flower)	a blossom
mróz	a frost
owoce	fruit
być ograniczonym do czegoś	to be limited to sth
zmagać się z ryzykiem	to face risk
poświęcić prywatność w zamian za wygodę	to forfeit privacy for convenience
być na bieżąco	to stay in the loop
zadawać pytanie (nie: ask)	to pose a question
zrzekać się prawa do czegoś	to waive the right to sth
magazyn ilustrowany	a glossy magazine
kapusta kiszona	sauerkraut
krzątanina	hustle
zapraszać kogoś do zrobienia czegoś	to invite sb to do sth
podejmować się nowej roli	to take on a new role
być czymś znudzonym	to be bored with sth
﻿beczka	a barrel
decydować się na coś	to decide on sth
czyjś asystent	an assistant to sb
być zaznajomionym z czymś	to be familiar with sth
być zadowolonym z czegoś	to be happy about sth
być dobrym kandydatem na coś	to be a good match for sth
wprowadzać produkt na rynek [2]	to launch a product; to roll out a product
robić zakupy spożywcze [2]	to do the grocery shopping; to do the food shopping
karp	a carp
brać prysznic	to take a shower
problemy psychiczne	mental issues
kłaść coś	to lay sth
popierać kogoś [2]	to support sb; to back sb up
popierać coś	to approve of sth
zastawa stołowa	dinnerware
mąka	flour
schabowy	a pork chop
bułka tarta	breadcrumbs
gęś	a goose
pączek	a donut
warsztat samochodowy	a garage
w warsztacie	at the garage
spędzać czas na robieniu czegoś	to spend time on doing sth
chory psychicznie	mentally ill
leżeć w łóżku	to lie in bed
kłamać kogoś	to lie to sb
burmistrz	a mayor
w pociągu	on the train
w autobusie	on the bus
w samolocie	on the plane
w samochodzie	in the car
wsiadać do samochodu	to get in the car
uwziąć się na kogoś	to pick on sb
całkiem nowy	brand new
zwracać koszty podróży	to reimburse travel expenses
mieć mało energii	to be low on energy
podlizywać się komuś	to suck up to sb
utknąć w korku	to get stuck in a traffic jam
pisać do kogoś	to text sb
dzwonić do kogoś	to call sb
oddzwaniać do kogoś [2]	to get back to sb; to call sb back
odpisywać komuś	to text sb back
parking	a parking lot
rata	an installment
kupować coś na raty	to buy sth on installments
zwrot wydatków	a reimbursement of expenses
być oderwanym od rzeczywistości	to be off base
przekonywać kogoś	to win sb over
wpajać komuś wartości	to instill values in sb
czuć się dobrze	to feel good
być czymś karmionym	to be fed with sth*
postanowienie noworoczne	a New Year's resolution
kura	a hen
kurczaczek	a chicken
kurczak	chicken
uczęszczać na kurs	to attend a course
robić zakupy	to do the shopping
zamieszanie	turmoil
pokonywać przeszkodę	to get over an obstacle
zmierzać tam	to head there
doprowadzać do czegoś	to lead to sth
zapewniać komuś schronienie	to provide shelter for sb
umożliwiać coś	to enable sth
powtórzenie	a review
ujawniać coś	to reveal sth
dotyczyć większości kraju	to extend to most of the country
powodować silną reakcję	to prompt a strong response
propan	propane
topić się	to drown
wydobywać coś	to mine sth
chudnąć	to lose weight
powierzchnia	a surface
opady śniegu	snowfall
podejmować kroki do zrobienia czegoś	to take measures to do sth
dobry samarytanin	a Good Samaritan
silny wiatr (nie: strong)	intense wind
powtarzać coś (not repeat)	to echo sth
odległy	distant
istotny	essential
rozprzestrzeniać z rośliny na roślinę	to spread from plant to plant
baza	a base
zakłócenie	a disruption
z dnia na dzień	overnight
próba zrobienia czegoś	an attempt to do sth
sztuczny	artificial
nieprzejezdny	impassible
rekordowy upał	a record-breaking heatwave
dostrzegać coś	to spot sth
To wskazuje, że...	It indicates that...
Naukowcy odkryli, że...	Researchers revealed that...
Z powodu zmiany...	Due to the change...
wichura	a gale
przenocowywać kogoś w hotelu	to put sb up in a hotel
spadać (nie: fall)	to plummet
zauważyć coś	to note sth
ryzyko (nie: danger)	a hazard
zagrażać czemuś	to threaten sth
łagodnie	gently
odwodniony	dehydrated
komentować coś	to comment on sth
sterylny	sterile
zauważalna zmiana	a noticeable difference
korzyść z czegoś	a benefit of sth
pojemnik	a receptacle
różne zadania (not different)	various tasks
przemycać coś	to smuggle coś
meteoryt	a meteorite
młode(u zwierzęcia)	a cub
porywisty wiatr	gusty wind
rozmnażać rośliny	to propagate plants
wśród	amid
ustępować (np. o burzy)	to subside
upalne warunki	scorching conditions
powódź	a flood
wzbudzać podejrzenia	to raise suspicions
przejadać się	to overeat
podmuch	a gust
resztka	a remnant
temperatura gwałtownie rosnąca ponad 40 stopni Celsjusza	a temperature soaring above 40C
oszacowywać coś	to estimate sth
zdolny do zrobienia czegoś	capable of doing sth
łączyć się	to merge together
powiadamiać kogoś	to notify sb
wybuch (np. epidemii)	an outbreak
wychodzić z uśpienia	to emerge from dormancy
lepszy (bardziej wskazany)	preferable
żwir	grit
istotne pożywienie	staple food
celnik	a customs officer
różnorodność czegoś	a variety of sth
gruby	thick
reszta czegoś	the rest of sth
przywiązywać coś do czegoś	to tie sth to sth
około	approximately
przewidywać zmianę	to predict a change
możliwy do podtrzymania	sustainable
okaz	a specimen
zdradziecki	treacherous
To zwykle jest... (nie: usually)	It tends to be...
Jak można było się spodziewać...	Unsurprisingly...
wymijająca odpowiedź	an evasive answer
meteor	a meteor
przerwa w dostawie prądu	a power cut
kępa kurzu	a clump of dust
przygasać (o świetle)	to dip
ostrożność	caution
hojny	generous
władze	authorities
odporny na chorobę	resistant to a disease
czaić się	to lurk
odłamek (pocisku)	a shrapnel
przenośny zbiornik	a portable tank
akcja o szerokim zasięgu	a widespread operation
uwaga (skupienie)	attentiveness
dokładność	accuracy
hodować rośliny	to breed plants
tracić życie	to lose one's life to sth
bursztynowy	amber
znosić coś	to endure sth
supermarkety na całym świecie	supermarkets worldwide
wyobrażać sobie coś (nie: imagine)	to envisage sth
rozkwit	a bloom
wydawać ostrzeżenie	to issue a warning
torbacz	a marsupial
postrzępiony	jagged
wysoka cena (nie: high)	a hefty price
zwracać się do kogoś (w celu uzyskania pomocy)	to reach out to sb
obniżać do czegoś	to downgrade to sth
ruda	an ore
osoba na diecie	a dieter
pożądany	sought-after
stawiać na czymś stopę	to set foot on sth
aukcja	an auction
ogólna jakość	the overall quality
obozowisko	an encampment
prymitywny	crude
zamykać się	to shut
niekorzystne warunki pogodowe	adverse weather conditions
dietetyk	a dietician
prowadzić badania (nie: research)	to lead a study
rozwijać coś	to brew sth up
poza wpływem (czegoś)	unaffected
ostry	severe
wyraźny kolor	a distinct color
podczas godzin szczytu	during rush hour
nieoczekiwany	unforeseen
odcień	a hue
odmiana grzyba	a fungal strain
ofiarowywać coś	to donate sth
prawdopodobnie	likely
lina	a rope
poskręcany	twisted
przyspieszać metabolizm	to rev up the metabolism
połączone wyniki (z różnych źródeł)	pooled results
rzecznik prasowy	a spokesperson
rzucać na coś światło	to shed light on sth
nakłaniać kogoś do zrobienia czegoś	to urge sb to do sth
obywatel	a citizen
polowanie na coś	a hunt for sth
iglica	a spire
uroczyście	solemnly
złamane serce	a heartbreak
pogodzić się z czymś	to come to terms with sth
wzruszający	poignant
spokojny	serene
straszny	dreadful
być w złym nastroju	to be in a bad mood
inwestować w coś pieniądze	to invest money in sth
osiągać cel (nie: achieve, reach) [2]	to hit a goal; to attain a goal
mieć zaufanie do kogoś	to have trust in sb
za dużo o czymś myśleć	to overthink sth
traktować coś priorytetowo	to prioritize sth
polegać na swojej intuicji	to rely on your guts
podlegać dyskusji	to be open for discussion
czekać w kolejce	to wait in line
złośliwy [2]	spiteful; catty
być w dobrym nastroju	to be in a good mood
inwestować (nie: invest)	to make an investment
brać kogoś za pewnik	to take sb for granted
popełniać błędy	to make mistakes
na ogół	in general
przechodzić do czegoś	to move on to sth
alternatywa (nie: alternative)	a backup option
w międzyczasie	in the meantime
główny priorytet	a top priority
bezpośredni podwładny	a direct report
popełniać błąd	to make a mistake
wspominać coś komuś	to mention sth to sb
tłumaczyć coś komuś	to explain sth to sb
opisywać coś komuś	to describe sth to sb
język ojczysty	a mother tongue
badać kogośe	to give sb a checkup
przechodzić badania kontrolne	to have a checkup
prorok	a prophet
przepowiednia	a prophecy
pewnego razu [2]	one day; once
huragan	a hurricane
mieć kaszel	to have a cough
mieć katar	to have a runny nose
mieć gorączkę	to have a fever
w szpitalu	at the hospital
badanie	an examination
badać kogoś	to examine sb
niebezpieczny [2]	dangerous; hazardous
narzekać na coś	to complain about sth
utknąć	to get stuck
głosić coś	to preach sth
powstawać z martwych	to rise from the dead
kończyć coś	to wrap sth up
Z jednej strony...	On one hand...
technicznie	technically
zaprzepaszczać okazję	to squander away an opportunity
w Stanach Zjednoczonych	in the US
kończyć projekt	to wrap up a project
zły na kogoś	angry with sb; mad at sb
Z drugiej strony...	On the other hand...
w porządku obrad	on the agenda
dane liczbowe	figures
kilka	a few
mało	few
włamywać się do domu	to break into a house
﻿zestresowany	stressed-out
stresujący	stressful
dzisiaj rano	this morning
nadążać za kimś	to keep up with sb
nadążać za nauczycielem	to keep up with the teacher
zalegać z pracą domową	to fall behind with homework
pozostawać w tyle z czymś	to fall behind with sth
dbać o klientów	to take care of clients
zajmować się czymś	to take care of sth
opiekować się kimś [2]	to take care of sb; to look after sb
ambitny	ambitious
pisać test	to take a test
podchodzić do egzaminu	to take an exam
ochraniać kogoś	to protect sb
wspominać o czymś	to mention sth
szpital psychiatryczny	a psychiatric hospital
psychiatra	a psychiatrist
psychopata	a psychopath
raport	a report
zasypiać	to fall asleep
przekładać spotkanie [2]	to postpone a meeting; to put off a meeting
robić komuś niespodziankę [2]	to make sb a surprise; to make a surprise for sb
kręcić się wokół czegoś	to revolve around sth
na stacji benzynowej	at the gas station
stacja benzynowa	a gas station
rozlewać kawę	to spill coffee
rozlewać coś	to spill sth
balon	a balloon
wysiadać z autobusu	to get off the bus
głaskać kota	to pet a cat
głaskać psa	to pet a dog
wsiadać do autobusu	to get on the bus
cofać się	to step back
wołać o pomoc	to cry for help
patyk	a stick
wykonany ze stali	made of steel
pręt [2]	a bar; a rod
kamień	a stone
skała	a rock
rzucać kamieniem	to throw a stone
wykonany z kamienia	made of stone
wykonany z drewna	made of wood
wykonany z metalu	made of metal
wykonany z tworzywa sztucznego	made of plastic
wykonany ze skóry	made of leather
wykonany z bawełny	made of cotton
wykonany z żelaza	made of iron
tracić przytomność	to lose consciousness
robić komuś badania kontrolne	to give sb a checkup
Jeśli chodzi o…	When it comes to…
przerywać komuś	to interrupt sb
nazwisko	a last name
policjant	a police officer
przebierać się za policjanta	to dress up as a police officer
W międzyczasie...	In the meantime...
monitoring	a surveillance camera
w rogu	in the corner
mieć miejsce (nie: take place)	to occur
mieć miejsce (nie: occur)	to take place
kończyć pracę (nie: finish)	to knock off
kończyć pracę (nie: knock)	to finish work
podejście [2]	an attitude; an approach
być w tym samym wieku	to be the same age
znajdować pracę	to find a job
wkładać w coś wysiłek	to put effort into sth
Ziemia	(the) Earth
odhaczać zadanie	to check off a task
semestr	a semester
ustalać granice	to establish boundaries
nawiązywać relację	to establish a relationship
zakładać rodzinę	to establish a family
montować coś	to fix sth
wydobywać czyjś talent	to bring out sb's talent
woleć coś robić	to prefer to do sth
znosić coś (wytrzymywać, nie: stand)	to bear sth
zapraszać kogoś do siebie	to have sb over
W drodze do domu...	On my way home...
introwertyczny	introverted
introwertyk	an introvert
ekstrawertyk	an extrovert
ekstrawertyczny	extroverted
gospodarz	a host
dbający o rodzinę	family-oriented
ciotka	an aunt
wujek	an uncle
zapraszać kogoś na spotkanie	to invite sb to a meeting
zapraszać kogoś na rozmowę kwalifikacyjną	to invite sb to a job interview
zapraszać kogoś na obiad	to invite sb to lunch
przejmować coś	to take sth over
rozpamiętywać coś	to dwell on sth
zastanawiać się nad czymś	to reflect on sth
po raz pierwszy	for the first time
pierwszy dzień	the first day
pierwszy odcinek	the first episode
pierwszy lot	the first flight
pierwsza klasa	the first grade
zwracać uwagę na czyjąś wymowę	to pay attention to sb's pronunciation
wymowa	pronunciation
całe słownictwo	all the vocabulary
czytać coś na głos	to read sth out loud
Chciałbym podkreślić, że ...	I'd like to stress that...
gorzej	worse
na tylnym siedzeniu	in the back seat
robić rentgen klatki piersiowej	to X-ray your chest
na nagraniu	in the footage
na obrazie	in the picture
wściec się	to get mad
brać ślub	to get married
zmęczyć się	to get tired
rozpraszać się	to get distracted
spijać się	to get drunk
trzymać się planu [2]	to follow a plan; to stick to a plan
trzymać się zasad	to stick to the rules
trzymać się tematu	to stick to the subject
trzymać się scenariusza	to stick to the script
trzymać się swojej historii	to stick to your story
dotrzymywać obietnicy	to stick to your promise
trzymać się swojej decyzji	to stick to the decision
popełniać przestępstwo	to commit a crime
popełniać samobójstwo	to commit suicide
popełniać morderstwo	to commit murder
przygotowywać się na coś	to get prepare for sth
przygotowywać się do egzaminu	to get prepared for an exam
przygotowywać się do pracy	to get prepared for work
słuchawki	earphones
odbierać dzieci ze szkoły	to pick up the kids from school
podrzucać dzieci do szkoły	to drop off the kids at school
uprzednio coś wyjaśniać	to explain sth upfront
jak najszybciej	as quickly as possible
rozmawiać przez telefon	to talk over the phone
Na szczycie tego...	On top of that...
wciągający [2]	involving; gripping
trzymający w napięciu	suspenseful
Norwegia	Norway
Skandynawia	Scandinavia
skarb	treasure
łup	the loot
klasztor	a monastery
mnich	a monk
zakonnica	a nun
jeniec	a captive
robić krok wstecz	to take a step back
nocą	overnight
nie doceniać czegoś	to underestimate sth
dodatkowa opłata	an additional fee
być na minusie	to be in the red
być na plusie	to be in the black
cieszyć się widokiem	to enjoy the view
cieszyć się pogodą	to enjoy the weather
cieszyć się czymś	to enjoy sth
pogrzeb	a funeral
koronacja	a coronation
czuwanie (przed pogrzebem)	a wake
poronienie	a miscarriage
świątynia	a temple
szablon	a template
składać bogom ofiarę	to make an offering to the gods
być dla kogoś dobrym rozwiązaniem	to be a good fit for sb
chrześcijanin	a Christian
katolik	a Catholic
w centrum handlowym	in the mall
spadać o 1%	to drop by 1%
wchodzić w życie [2]	to come into effect; to take effect
ogłszać nowe przepisy	to announce new regulations
zwalniać kogoś [2]	to dismiss sb; to lay sb off
To dlatego, że...	It's because...
koszulka	a T-shirt
koszula	a shirt
sukienka	a dress
dres	a tracksuit
kapelusz	a hat
szalik	a scarf
bluza	a sweatshirt
mundur	a uniform
sweter	a jumper
szorty	shorts
spódnica	a skirt
bielizna	underwear
kieszeń	a pocket
spodnie	pants
but	a shoe
płaszcz	a coat
rajstopy	tights
krawat	a tie
rękawica	a glove
kapcie	slippers
spodnie jeansowe	jeans
bluzka	a blouse
ubrania	clothes
skarpetka	a sock
czapka	a cap
garnitur	a suit
kurtka	a jacket
nadrabiać coś	to catch up with sth
w biurze	in the office
być przeciążonym pracą	to be overburdened with work
przemęczać się	to overextend yourself
prognoza pogody	a weather forecast
A co gorsza...	And what's worse...
słyszeć, jak ktoś coś robi	to hear sb doing sth
zauważyć, jak ktoś coś robi	to notice sb doing sth
patrzeć, jak ktoś coś robi	to watch sb doing sth
sojusznik	an ally
wróg	an enemy
powodować problemy	to cause trouble
słodzić kawę	to put sugar in your coffee
przekonujący	convincing
Jestem pewien, że...	I'm convinced that...
przekonywać kogoś do zrobienia czegoś	to convince sb to do sth
przekonujący (nie: convincing)	compelling
gubić coś	to lose sth
otwierać drzwi (nie: open)	to unlock the door
odblokowywać telefon	to unlock the phone
iść do pracy	to go to work
widzieć, jak ktoś coś robi	to see sb doing sth
samowystarczalny	self-sufficient
zakładać coś	to put sth on
mieć wgląd w coś	to have insight in sth
cierpliwość	patience
niecierpliwy	impatient
cierpliwy	patient
pomijać [2]	to skip; to ommit; to leave out
w przeszłości	in the past
samemu [2]	on my own; by myself
cecha osobowości	a personality trait
być nękanym	to be harassed
odpowiadać czyimś wymaganiom	to live up to sb's expectations
wydajność	efficiency
wydajny	efficient
pozywać kogoś	to sue sb
pozew sądowy	a lawsuit
przede wszystkim	in the first place
w pierwszej klasie	in the first grade
w pierwszym sezonie	in the first season
mieć temperaturę	to have a temperature
przyjeżdżać do hotelu	to arrive at the hotel
przyjeżdżać do Warszawy	to arrive in Warsaw
przybywać na komisariat	to arrive at the police station
